State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
05,"Boone County, Arkansas",37212.0,42.2,40727.0,22288.0,5767.0,15.497688917553477,2.7356766634419003
05,"Izard County, Arkansas",13521.0,48.0,39135.0,19737.0,2238.0,16.552030175282894,3.6092005029213814
05,"Independence County, Arkansas",37097.0,39.8,39945.0,23056.0,6628.0,17.866673855028708,2.622853600021565
05,"Lincoln County, Arkansas",13885.0,38.6,38873.0,13142.0,1620.0,11.66726683471372,2.1389989196975154
05,"Logan County, Arkansas",21802.0,42.2,37982.0,19708.0,4326.0,19.842216310430235,3.35290340335749
05,"Grant County, Arkansas",18076.0,39.9,49968.0,25814.0,2579.0,14.267537065722506,3.966585527771631
05,"Crittenden County, Arkansas",49278.0,35.0,38558.0,20721.0,11422.0,23.178700434270873,3.7805917447948376
05,"Franklin County, Arkansas",17803.0,41.4,39472.0,19988.0,3829.0,21.507611076784812,2.6119193394371734
05,"Faulkner County, Arkansas",121282.0,32.3,50316.0,25240.0,18989.0,15.656898797843043,2.5148002176745106
05,"Pike County, Arkansas",10893.0,41.8,36893.0,20180.0,1852.0,17.00174423941981,2.2216102083907097
05,"Jefferson County, Arkansas",71373.0,39.0,37630.0,20371.0,16140.0,22.613593375646253,4.17945161335519
05,"Marion County, Arkansas",16374.0,51.8,36113.0,19200.0,3165.0,19.32942469769146,2.7421521925003054
05,"Montgomery County, Arkansas",9059.0,50.0,35252.0,21480.0,1613.0,17.80549729550723,1.6337344077712772
05,"Scott County, Arkansas",10584.0,41.2,37396.0,18077.0,2142.0,20.238095238095237,4.544595616024187
05,"Searcy County, Arkansas",7925.0,47.3,36716.0,21475.0,1364.0,17.21135646687697,1.4511041009463723
05,"Sebastian County, Arkansas",127362.0,37.3,40932.0,23916.0,28211.0,22.150248896845213,2.576121606130557
05,"Crawford County, Arkansas",62119.0,38.7,43504.0,22104.0,10196.0,16.413657657077543,2.7399024453065888
05,"Benton County, Arkansas",251823.0,35.2,61271.0,30611.0,26096.0,10.362834212919392,1.510981919840523
05,"Chicot County, Arkansas",11008.0,43.3,32412.0,20560.0,3041.0,27.625363372093023,3.7427325581395348
05,"Hot Spring County, Arkansas",33480.0,41.7,40626.0,20868.0,4941.0,14.758064516129032,2.6194743130227
05,"Johnson County, Arkansas",26155.0,37.8,35758.0,18757.0,5733.0,21.9193270885108,1.9843242209902505
05,"Lee County, Arkansas",9614.0,41.9,27901.0,15610.0,2173.0,22.6024547534845,5.346369877262326
05,"Madison County, Arkansas",15907.0,42.5,42894.0,23203.0,2797.0,17.583453825359904,1.9425410196768718
05,"Desha County, Arkansas",12094.0,40.2,27036.0,18187.0,3886.0,32.13163552174632,5.1099718868860595
05,"Fulton County, Arkansas",12092.0,48.1,36051.0,19674.0,2718.0,22.477671187562024,2.5223288124379755
05,"Howard County, Arkansas",13472.0,38.5,34851.0,23627.0,2790.0,20.709619952494062,2.5089073634204277
05,"Garland County, Arkansas",97994.0,44.7,41672.0,25690.0,18300.0,18.67461273139172,4.027797620262465
05,"Mississippi County, Arkansas",43534.0,36.1,36417.0,20378.0,10921.0,25.08613956907245,5.184453530573804
05,"Pope County, Arkansas",63372.0,34.9,40668.0,21650.0,11841.0,18.68490816133308,3.38161964274443
05,"Prairie County, Arkansas",8309.0,45.7,41244.0,22653.0,1364.0,16.415934528824167,3.405945360452521
05,"Union County, Arkansas",40022.0,39.7,41106.0,23463.0,7936.0,19.829093998300934,3.493078806656339
05,"Woodruff County, Arkansas",6763.0,45.3,30097.0,19987.0,1721.0,25.447286707082657,4.302824190448026
05,"Cleburne County, Arkansas",25361.0,48.9,42312.0,26189.0,3829.0,15.097985095224951,2.3421789361618233
05,"Cleveland County, Arkansas",8332.0,42.6,44840.0,23171.0,1589.0,19.071051368218914,2.844455112818051
05,"Jackson County, Arkansas",17429.0,40.5,32783.0,19458.0,3592.0,20.609329278788227,2.4499397555797806
05,"Hempstead County, Arkansas",22154.0,38.9,38701.0,18817.0,5539.0,25.002256928771327,2.730883813306852
05,"Sharp County, Arkansas",17041.0,47.3,31792.0,20078.0,3904.0,22.90945367055924,2.4822486943254503
05,"Stone County, Arkansas",12443.0,49.5,33091.0,19881.0,2983.0,23.97331833159206,3.158402314554368
